unit,ts,sensor,value,document_id
°C,2025-12-09 10:30:19.592000+00:00,freezer_temp,0.0,001Dyr4O6KuH3J2L0eBo
°C,2025-12-04 12:03:35.288000+00:00,freezer_temp,6.0,0024eeQ31NMwawjL4nDF
°C,2025-12-05 13:15:56.581000+00:00,freezer_temp,7.0,004sCK03Scpoz8miyBeT
°C,2025-12-04 09:10:49.097000+00:00,freezer_temp,-4.0,00ToVu6tyOoJmp4r0hyD
°C,2025-12-10 06:06:52.147000+00:00,freezer_temp,24.94,00qegaR2PdhQxpfblisC
°C,2025-12-08 14:19:17.199000+00:00,freezer_temp,28.56,01BCjFre0qUw8k26xkpY
°C,2025-12-05 11:48:47.699000+00:00,freezer_temp,-16.0,01PobvKKoS3GBV3OVhM9
°C,2025-12-04 05:43:29.207000+00:00,freezer_temp,-19.0,01fUkbTcrf4nW7NKG62d
°C,2025-12-06 14:07:49.321000+00:00,freezer_temp,-20.0,01hY2BUrzsIQSsXY5LAm
°C,2025-12-05 12:36:37.766000+00:00,freezer_temp,-1.0,01nQqrBqTmF0BKXLErE9
°C,2025-12-04 06:07:00.287000+00:00,freezer_temp,-20.0,02k3lVJBZURNUWav2Oh1
°C,2025-12-06 14:11:07.471000+00:00,freezer_temp,-8.0,02qkgRlGQuQHasVznWKN
°C,2025-12-06 14:18:17.648000+00:00,freezer_temp,-5.0,02t3A7wV3n1VLc9m5AuF
°C,2025-12-06 12:11:39.353000+00:00,freezer_temp,-9.0,03QXh4Mn1l33CVltVnKi
°C,2025-12-04 10:37:24.482000+00:00,freezer_temp,-3.0,047Jc625KoAC9wY2j2oN
°C,2025-12-04 11:25:31.966000+00:00,freezer_temp,-5.0,04ALdd57ZF9DDDyRK744
°C,2025-12-05 14:27:33.207000+00:00,freezer_temp,-13.0,04BBFNft2NJtXChjEnaB
°C,2025-12-04 06:57:33.948000+00:00,freezer_temp,11.0,04KaJQWpuot7oVjubFgh
°C,2025-12-06 09:20:22.150000+00:00,freezer_temp,12.0,04dM3uB1gqqwvOh2IuFM
°C,2025-12-06 11:11:14.673000+00:00,freezer_temp,15.0,04jEKYTckUMYrbKgvw1n
°C,2025-12-08 14:47:21.169000+00:00,freezer_temp,0.0,04rDhx04lZkaR8Lr4QTA
°C,2025-12-05 13:14:16.396000+00:00,freezer_temp,-9.0,04ylf7pdSljkhk8xy6NV
°C,2025-12-08 12:26:38.125000+00:00,freezer_temp,0.0,05MdIQeRB3R49qbaTRYB
°C,2025-12-06 11:26:59.594000+00:00,freezer_temp,3.0,05ZIFf2npeU6oiwc5AP9
°C,2025-12-04 07:54:14.893000+00:00,freezer_temp,13.0,0636k4AONzpbWjQFaRi3
°C,2025-12-05 12:06:04.180000+00:00,freezer_temp,3.0,06LNUK4UQUDnDRNv3pvV
°C,2025-12-06 14:16:07.974000+00:00,freezer_temp,-4.0,06PGxTuW5pmUOS3EYvQQ
°C,2025-12-04 10:01:43.164000+00:00,freezer_temp,10.0,06iPwxUGMEL9pcSZfXhQ
°C,2025-12-06 12:05:38.989000+00:00,freezer_temp,-13.0,06uyEkYTSQQDPBcGHVIp
°C,2025-12-04 14:41:35.486000+00:00,freezer_temp,-14.0,074C0dvNBA6ml6hdSE7M
°C,2025-12-04 06:07:30.323000+00:00,freezer_temp,14.0,07ALEFMVNz2WQd8LGNWr
°C,2025-12-06 14:11:37.640000+00:00,freezer_temp,-5.0,07M4W72yeOe6NfQKQ6R1
°C,2025-12-05 13:54:55.191000+00:00,freezer_temp,-15.0,07d413AeHXPttGDf01Bv
°C,2025-12-05 14:37:49.171000+00:00,freezer_temp,-10.0,07lUOcLlrYTo5nqlC9B2
°C,2025-12-04 14:54:51.736000+00:00,freezer_temp,19.0,08W5xhiDjuSNWFe9Cdmx
°C,2025-12-06 12:13:18.480000+00:00,freezer_temp,0.0,08gf30V5HIaV4u31IBIQ
°C,2025-12-04 09:38:05.348000+00:00,freezer_temp,-9.0,08jsDj9nyzQOS7X8oV3o
°C,2025-12-04 06:10:07.983000+00:00,freezer_temp,-1.0,08vfTLL8B4uaoXo9lnuM
°C,2025-12-08 14:48:36.845000+00:00,freezer_temp,29.37,090SO7hLDG9I5jVg16Vl
°C,2025-12-06 12:16:24.810000+00:00,freezer_temp,-5.0,09IvN9QNvbr5WM2NEff6
°C,2025-12-06 12:01:24.139000+00:00,freezer_temp,-17.0,09OP89emQA7mnYxIcqlv
°C,2025-12-09 10:22:29.570000+00:00,freezer_temp,0.0,0A4c1sLfK49O6eHLyeFa
°C,2025-12-10 06:18:02.196000+00:00,freezer_temp,24.81,0ASiRPGiqhScJtTDemtR
°C,2025-12-04 11:10:45.560000+00:00,freezer_temp,13.0,0Ad5yIhrRMoWeCI6jpRC
